Samples4Survey FeSe
1350.08 600084.08
1349.08 593821.2
1348.08 593212.21
1347.08 582138.05
1346.08 580017.24
1345.08 579497.83
1344.08 578036.45
1343.08 580580.25
1342.08 575934.22
1341.08 566078.54
1340.08 572642.72
1339.08 570381.44
1338.08 554209.73
1337.08 552225.54
1336.08 557351.36
1335.08 559712.44
1334.08 555004.19
1333.08 548951.12
1332.08 554890.33
1331.08 548014.31
1330.08 544193.18
1329.08 542005.46
1328.08 541893.2
1327.08 540375.12
1326.08 535828.66
1325.08 549928.6
1324.08 541088.04
1323.08 539047.7
1322.08 534622.25
1321.08 538950.47
1320.08 539329.31
1319.08 533100.9
1318.08 529587.91
1317.08 540046.71
1316.08 526335.81
1315.08 528412.21
1314.08 526112.88
1313.08 525913.73
1312.08 520256.32
1311.08 514138.66
1310.08 518581.47
1309.08 515381.69
1308.08 514403.96
1307.08 510297.07
1306.08 515635.91
1305.08 520685.33
1304.08 527849.91
1303.08 517219.69
1302.08 518072.65
1301.08 516996.16
1300.08 511234.31
1299.08 505964.91
1298.08 510729.52
1297.08 503602.26
1296.08 498972.17
1295.08 500690.58
1294.08 503362.05
1293.08 506195.86
1292.08 498588.93
1291.08 506160.9
1290.08 504212.08
1289.08 500317.32
1288.08 500300.13
1287.08 498423.8
1286.08 505795.37
1285.08 507215.75
1284.08 502480.68
1283.08 494682.03
1282.08 503505.94
1281.08 503899.18
1280.08 506474.79
1279.08 497689.74
1278.08 496445.21
1277.08 499520.03
1276.08 507098.87
1275.08 496647.34
1274.08 502534.08
1273.08 495856.52
1272.08 497947.64
1271.08 501278.22
1270.08 498682.35
1269.08 501795.6
1268.08 506294.53
1267.08 500805.63
1266.08 505930.86
1265.08 498450.91
1264.08 504881.68
1263.08 499588.19
1262.08 504614.14
1261.08 504051.65
1260.08 496634.3
1259.08 503151.25
1258.08 501739.34
1257.08 504975.97
1256.08 501697.98
1255.08 504360.56
1254.08 506117.88
1253.08 502352.65
1252.08 504917.31
1251.08 502136.99
1250.08 504143.11
1249.08 510464.49
1248.08 513934.55
1247.08 509999.26
1246.08 509530.91
1245.08 513484.02
1244.08 516000.29
1243.08 518132.68
1242.08 515393.02
1241.08 516299.24
1240.08 517251.54
1239.08 519474.8
1238.08 521779.38
1237.08 524000.63
1236.08 522595.2
1235.08 519196.63
1234.08 520586.32
1233.08 525905.49
1232.08 518807.13
1231.08 526976.86
1230.08 528741.92
1229.08 534127.99
1228.08 538227.29
1227.08 537162.83
1226.08 531279.86
1225.08 540040.66
1224.08 532577.2
1223.08 535012.42
1222.08 536418.62
1221.08 528127.3
1220.08 533075.87
1219.08 520566.88
1218.08 523180.58
1217.08 521367.49
1216.08 521876.95
1215.08 523005.98
1214.08 516373.6
1213.08 512400.26
1212.08 505573.44
1211.08 514606.23
1210.08 511094.09
1209.08 505707.61
1208.08 514890.74
1207.08 508499.86
1206.08 506191.33
1205.08 507246.25
1204.08 507725.54
1203.08 513664.78
1202.08 509595.87
1201.08 514422.13
1200.08 514277.85
1199.08 515373.68
1198.08 514148.87
1197.08 517811.94
1196.08 519676.77
1195.08 520827.71
1194.08 517499.59
1193.08 520651.88
1192.08 514819.59
1191.08 520037.99
1190.08 518800.07
1189.08 515574.66
1188.08 513894.56
1187.08 518176.16
1186.08 519665.41
1185.08 517682.51
1184.08 519091.88
1183.08 522230.49
1182.08 521438.85
1181.08 522316.02
1180.08 520976.74
1179.08 523758.14
1178.08 528501.64
1177.08 521889.76
1176.08 520958.7
1175.08 529144.2
1174.08 525513.46
1173.08 532106.9
1172.08 529530.32
1171.08 526307.91
1170.08 532369.28
1169.08 525819.06
1168.08 530147.55
1167.08 531219.75
1166.08 527134.5
1165.08 534088.28
1164.08 533298.67
1163.08 534969.54
1162.08 530419.81
1161.08 536155.94
1160.08 536759.26
1159.08 535351.64
1158.08 535883.91
1157.08 538211.86
1156.08 537847.81
1155.08 544108.41
1154.08 542255.13
1153.08 545239.95
1152.08 546513.54
1151.08 543725.35
1150.08 546894.99
1149.08 546631.85
1148.08 547259.77
1147.08 544711.75
1146.08 542111.56
1145.08 545933.05
1144.08 547913.29
1143.08 549243.44
1142.08 541552.13
1141.08 546779.26
1140.08 551841.15
1139.08 550683.77
1138.08 552315.86
1137.08 560221.99
1136.08 551493.5
1135.08 559613.21
1134.08 563274.35
1133.08 560701.32
1132.08 561600.1
1131.08 554807.63
1130.08 561175.92
1129.08 562788.79
1128.08 557969.95
1127.08 557488.08
1126.08 561522.68
1125.08 559925.72
1124.08 563209.26
1123.08 555388.75
1122.08 557406.94
1121.08 560026.93
1120.08 561356.82
1119.08 565247.55
1118.08 560985.22
1117.08 559721.26
1116.08 565737.11
1115.08 562999.41
1114.08 566022.64
1113.08 567757.14
1112.08 570519.02
1111.08 568063.13
1110.08 573851.89
1109.08 579820.18
1108.08 591581.56
1107.08 591013.25
1106.08 597326.35
1105.08 596750.11
1104.08 590515.8
1103.08 590680.11
1102.08 588384.42
1101.08 582255.91
1100.08 572458.14
1099.08 564257.48
1098.08 558164.14
1097.08 548367.03
1096.08 540443.77
1095.08 547790.77
1094.08 547778.19
1093.08 534836.1
1092.08 541487.82
1091.08 544534.67
1090.08 540530.61
1089.08 542962.04
1088.08 545779.37
1087.08 541171.89
1086.08 539239.17
1085.08 543301.41
1084.08 542438.66
1083.08 546957.2
1082.08 539480.14
1081.08 539521.26
1080.08 536933.71
1079.08 542521.32
1078.08 543843.43
1077.08 554940.66
1076.08 552242.72
1075.08 563992.03
1074.08 567672.13
1073.08 575588.22
1072.08 571880.02
1071.08 574173.56
1070.08 566934.21
1069.08 562112.7
1068.08 560430.99
1067.08 558768.86
1066.08 556028.2
1065.08 557159.48
1064.08 556255.66
1063.08 549146.05
1062.08 552748.89
1061.08 552765.88
1060.08 553922.66
1059.08 549665.19
1058.08 549100.2
1057.08 551723.87
1056.08 552598.81
1055.08 553197.73
1054.08 556652.85
1053.08 557079.8
1052.08 562855.86
1051.08 564676.75
1050.08 556470.29
1049.08 559606.81
1048.08 567045.01
1047.08 570322.51
1046.08 561907.38
1045.08 567690.53
1044.08 573352.85
1043.08 571029.51
1042.08 566971.02
1041.08 568004.45
1040.08 571471.07
1039.08 572599.21
1038.08 578602.36
1037.08 574914.33
1036.08 581897.05
1035.08 579603.34
1034.08 578935.34
1033.08 578783.93
1032.08 576764.32
1031.08 578565.99
1030.08 586348.46
1029.08 591143.49
1028.08 584457.57
1027.08 594629.13
1026.08 597080.36
1025.08 597814.11
1024.08 593184.63
1023.08 595387.6
1022.08 595054.56
1021.08 599529.17
1020.08 599477.34
1019.08 595802.26
1018.08 598796.78
1017.08 605442.9
1016.08 602451.77
1015.08 609486.54
1014.08 606002.9
1013.08 613753.26
1012.08 610712.43
1011.08 622488.13
1010.08 618904.75
1009.08 623177.51
1008.08 624788.41
1007.08 627245.28
1006.08 618579.45
1005.08 630531.58
1004.08 628481.53
1003.08 625536.23
1002.08 628407.09
1001.08 630871.1
1000.08 631265.25
999.08 637996.84
998.08 639823.34
997.08 644313.07
996.08 658066.89
995.08 669387.94
994.08 666121.17
993.08 663379.42
992.08 650572.6
991.08 630918.46
990.08 631847.99
989.08 631593.18
988.08 629230.91
987.08 625383.92
986.08 625633.47
985.08 617803.01
984.08 620584.46
983.08 623803.34
982.08 622155.59
981.08 637269.12
980.08 649879.13
979.08 664105.74
978.08 691124.46
977.08 721989.55
976.08 763631.56
975.08 796577.26
974.08 823535.11
973.08 791766.33
972.08 720810.73
971.08 678497.64
970.08 649711.83
969.08 630275.87
968.08 614392.09
967.08 607748.08
966.08 585328.7
965.08 576798.75
964.08 566121.18
963.08 559789.95
962.08 557179.74
961.08 549461.08
960.08 544729.79
959.08 549016.04
958.08 547784.4
957.08 553172.53
956.08 554897.52
955.08 555983.47
954.08 559113.43
953.08 557829.11
952.08 565314.32
951.08 557823.97
950.08 568638.9
949.08 565862.75
948.08 572821.16
947.08 564873.12
946.08 563682.3
945.08 572409.4
944.08 572404.22
943.08 573174.62
942.08 577566.51
941.08 578022.83
940.08 583017.17
939.08 580131.77
938.08 588018.01
937.08 590004.78
936.08 579939.8
935.08 586575.38
934.08 585747.07
933.08 583507.81
932.08 590241.63
931.08 593127.47
930.08 595591.38
929.08 588713.2
928.08 597550.32
927.08 597017.69
926.08 602206.09
925.08 605779.75
924.08 601600.34
923.08 602880.6
922.08 604250.77
921.08 600819.64
920.08 600482.67
919.08 599401.67
918.08 597840.83
