Samples4Survey FeSe_0706
1350.08 613124
1349.08 605811.71
1348.08 604535.25
1347.08 602010.39
1346.08 608672.99
1345.08 591268.49
1344.08 585273.53
1343.08 584556.27
1342.08 591968.39
1341.08 590251.61
1340.08 582979.36
1339.08 582397.17
1338.08 572757.14
1337.08 578415.74
1336.08 574364.39
1335.08 572953.06
1334.08 572170.01
1333.08 561339.5
1332.08 573921.19
1331.08 565657.56
1330.08 559994.65
1329.08 569356.86
1328.08 561531.01
1327.08 541442.62
1326.08 547009
1325.08 548612.7
1324.08 551401.3
1323.08 549659.12
1322.08 548629.67
1321.08 547186.09
1320.08 538165.85
1319.08 550383.52
1318.08 533347.27
1317.08 540532.62
1316.08 537511.98
1315.08 541109.96
1314.08 530026.67
1313.08 527417.03
1312.08 533227.52
1311.08 525558.39
1310.08 522083.32
1309.08 525570.23
1308.08 526312.57
1307.08 517943.8
1306.08 536789.98
1305.08 549146.09
1304.08 573583.64
1303.08 572611.1
1302.08 526379.57
1301.08 530257.78
1300.08 521434.42
1299.08 511756.8
1298.08 511760.3
1297.08 511495.87
1296.08 510329.3
1295.08 512224.43
1294.08 517607.82
1293.08 515317.99
1292.08 515235.31
1291.08 512218.1
1290.08 510404.02
1289.08 513101.77
1288.08 507103.14
1287.08 497268.66
1286.08 507787.74
1285.08 505455.12
1284.08 495485.16
1283.08 505177.96
1282.08 501335.1
1281.08 511157.77
1280.08 504973.51
1279.08 502953.32
1278.08 505782.8
1277.08 508891.69
1276.08 510732.79
1275.08 505766.8
1274.08 496640.82
1273.08 505876.77
1272.08 500464.66
1271.08 503304.48
1270.08 511486.63
1269.08 505214.87
1268.08 504332.65
1267.08 499727.07
1266.08 506562.96
1265.08 506735.95
1264.08 505792.3
1263.08 506572.43
1262.08 507105.98
1261.08 506354.92
1260.08 505130.26
1259.08 510263.61
1258.08 509671.92
1257.08 502789.37
1256.08 512700.56
1255.08 514001.82
1254.08 510375.42
1253.08 511685.71
1252.08 514465.95
1251.08 508769.59
1250.08 516594.28
1249.08 510246.86
1248.08 514021.59
1247.08 515201.57
1246.08 521162.49
1245.08 522430.91
1244.08 515543.19
1243.08 515392.83
1242.08 516106.79
1241.08 514185.06
1240.08 519782.27
1239.08 525958.9
1238.08 521080.21
1237.08 518853.51
1236.08 522496.22
1235.08 526290.38
1234.08 519985.45
1233.08 534806.5
1232.08 530744.83
1231.08 533145.47
1230.08 533923.72
1229.08 533069.46
1228.08 543583.15
1227.08 542064.22
1226.08 536330.07
1225.08 535962
1224.08 544660.21
1223.08 534265.09
1222.08 541807.13
1221.08 535583.81
1220.08 531201.37
1219.08 529589.21
1218.08 530639.43
1217.08 527669.78
1216.08 530292.44
1215.08 521307.09
1214.08 520247.69
1213.08 516534.71
1212.08 514502.77
1211.08 516222.99
1210.08 513425.01
1209.08 516308.34
1208.08 515031.55
1207.08 512465.9
1206.08 512856.65
1205.08 509693.66
1204.08 509579.04
1203.08 513683.15
1202.08 509872.78
1201.08 512274.62
1200.08 514483.85
1199.08 516834.78
1198.08 515245.53
1197.08 516582.63
1196.08 514949.35
1195.08 519618.94
1194.08 516648.12
1193.08 518917
1192.08 519191.01
1191.08 522051.03
1190.08 515105.99
1189.08 522309.13
1188.08 512938.51
1187.08 515206.99
1186.08 510511.95
1185.08 515369.77
1184.08 521906.28
1183.08 527158.27
1182.08 514908.61
1181.08 519667.47
1180.08 521363.77
1179.08 523169.68
1178.08 524000.91
1177.08 521010.36
1176.08 526681.19
1175.08 523799.91
1174.08 521681.23
1173.08 529484.9
1172.08 525263.04
1171.08 525926.02
1170.08 529847.3
1169.08 526527.49
1168.08 536741.13
1167.08 531139.02
1166.08 528926.6
1165.08 526685.56
1164.08 529018.31
1163.08 532839.21
1162.08 528824.71
1161.08 532665.04
1160.08 532285.93
1159.08 533527.7
1158.08 536178
1157.08 536039.68
1156.08 538967.11
1155.08 537325.77
1154.08 540844.28
1153.08 542413.46
1152.08 539918.06
1151.08 540296.11
1150.08 541307.3
1149.08 544632.81
1148.08 543447.1
1147.08 541567.72
1146.08 544233.2
1145.08 549383.68
1144.08 541609.1
1143.08 543781.42
1142.08 540560.43
1141.08 545186.86
1140.08 541302.64
1139.08 547175.54
1138.08 543987.15
1137.08 549735.7
1136.08 557513.13
1135.08 553064.85
1134.08 555798.38
1133.08 554975.81
1132.08 551003.93
1131.08 550519.29
1130.08 548922.47
1129.08 554641.58
1128.08 556178.27
1127.08 558162.79
1126.08 552534.52
1125.08 555648.67
1124.08 546588.1
1123.08 551204.86
1122.08 554022.42
1121.08 548950.32
1120.08 548230.76
1119.08 551838.94
1118.08 548708.84
1117.08 554987.5
1116.08 550692.51
1115.08 551337.45
1114.08 555481.09
1113.08 558496.92
1112.08 564249.8
1111.08 566230.64
1110.08 572689.86
1109.08 568832.83
1108.08 578477.35
1107.08 586313.33
1106.08 583551.15
1105.08 591597.06
1104.08 585440.61
1103.08 583645.12
1102.08 572040.56
1101.08 567815.85
1100.08 561841.21
1099.08 551022.12
1098.08 546526.45
1097.08 540086.94
1096.08 533466.11
1095.08 533561.74
1094.08 532438.49
1093.08 529816.06
1092.08 531226.44
1091.08 525304.75
1090.08 535730.93
1089.08 526908.28
1088.08 533655.5
1087.08 530079.67
1086.08 539252.18
1085.08 528702.9
1084.08 535539.38
1083.08 531884.07
1082.08 533621.26
1081.08 536555.48
1080.08 538036.66
1079.08 533199.5
1078.08 539927.43
1077.08 535044.02
1076.08 542348.28
1075.08 547980.07
1074.08 551781
1073.08 556639.79
1072.08 558234.52
1071.08 554992.29
1070.08 555278.79
1069.08 551222.2
1068.08 542843.57
1067.08 548232.44
1066.08 552215.62
1065.08 545018.4
1064.08 541209.24
1063.08 540929.02
1062.08 542991.84
1061.08 530687.93
1060.08 535053.87
1059.08 540366.02
1058.08 536041.42
1057.08 536903.91
1056.08 541852.09
1055.08 550543.86
1054.08 540077.57
1053.08 550681.77
1052.08 545071.71
1051.08 544262.09
1050.08 550981.81
1049.08 549817.83
1048.08 544295.85
1047.08 553521.04
1046.08 552049.29
1045.08 555842.32
1044.08 557786.02
1043.08 557853.2
1042.08 556299.2
1041.08 556280.33
1040.08 564190.06
1039.08 559879.4
1038.08 562851.66
1037.08 562196.64
1036.08 565628.97
1035.08 562310.12
1034.08 562433.49
1033.08 567877.08
1032.08 570604.81
1031.08 568928.99
1030.08 567800.52
1029.08 569433.1
1028.08 576345.63
1027.08 579523.29
1026.08 577699.69
1025.08 578033.33
1024.08 578735.29
1023.08 585541.26
1022.08 579853.56
1021.08 590340.21
1020.08 582811.74
1019.08 586523.67
1018.08 594734.17
1017.08 593047.99
1016.08 592310.05
1015.08 594578.45
1014.08 585457.25
1013.08 598167.98
1012.08 596733.37
1011.08 603974.8
1010.08 607433.86
1009.08 608457.74
1008.08 612460.78
1007.08 609724
1006.08 605639.81
1005.08 607697.08
1004.08 606530
1003.08 608174.67
1002.08 611590.06
1001.08 615548.62
1000.08 614821.09
999.08 625451.33
998.08 625583.97
997.08 633453.28
996.08 640138.6
995.08 650192.98
994.08 654159.34
993.08 639937.89
992.08 628951.21
991.08 620388.33
990.08 612572.73
989.08 611093.35
988.08 610848.07
987.08 617130.72
986.08 608157.43
985.08 603493.02
984.08 610710.13
983.08 605897.11
982.08 618275.84
981.08 619041.89
980.08 634306.04
979.08 654496.01
978.08 680516.83
977.08 709679.63
976.08 751777.53
975.08 785356.2
974.08 810587.37
973.08 766153.56
972.08 707880.96
971.08 656879.28
970.08 633699.24
969.08 607419.26
968.08 593607.27
967.08 577143.81
966.08 565691.7
965.08 556063.18
964.08 545065.52
963.08 541215.31
962.08 539752.72
961.08 539922.3
960.08 538154.52
959.08 537472.91
958.08 537155.7
957.08 540687.65
956.08 541109.25
955.08 539947.65
954.08 538471.07
953.08 543915.65
952.08 539515.11
951.08 544831.95
950.08 545519.21
949.08 548958.87
948.08 548272.74
947.08 550623.5
946.08 553694.93
945.08 556928.72
944.08 556123.6
943.08 555596.34
942.08 559675.15
941.08 560387.27
940.08 560628.46
939.08 564601.72
938.08 568196.05
937.08 576250.72
936.08 565394.13
935.08 562692.74
934.08 568816.13
933.08 573425.36
932.08 574016.99
931.08 572267.06
930.08 576560.18
929.08 577875.94
928.08 581948.89
927.08 585156.65
926.08 587385.03
925.08 586603.24
924.08 584029.16
