Samples4Survey LaCo_0211
1350.08 937629.06
1349.08 962483.3
1348.08 960628.46
1347.08 931682.94
1346.08 941475.73
1345.08 921857.02
1344.08 931815.66
1343.08 909657.35
1342.08 914677.87
1341.08 912895.06
1340.08 912544.11
1339.08 915895.69
1338.08 897162.4
1337.08 893467.22
1336.08 888388.88
1335.08 886916.7
1334.08 878177.26
1333.08 883722.9
1332.08 868227.61
1331.08 878793.33
1330.08 875540.07
1329.08 849023.04
1328.08 848837.33
1327.08 859507.19
1326.08 859697.27
1325.08 849820.05
1324.08 835621.27
1323.08 834012.66
1322.08 837671.05
1321.08 835882.8
1320.08 835449.84
1319.08 833093.65
1318.08 824371.71
1317.08 806459.58
1316.08 826672.53
1315.08 810739.03
1314.08 812865.55
1313.08 790628.05
1312.08 809133.64
1311.08 807055.54
1310.08 809921.91
1309.08 796577.55
1308.08 794069
1307.08 790043.88
1306.08 799412.53
1305.08 794956.57
1304.08 797677.22
1303.08 777949.09
1302.08 789430.28
1301.08 782837.49
1300.08 779805.13
1299.08 775954.99
1298.08 763332.57
1297.08 767888.44
1296.08 767161.8
1295.08 761085.3
1294.08 778011.63
1293.08 761125.27
1292.08 757355.47
1291.08 753192.44
1290.08 763271.26
1289.08 762706.16
1288.08 739614.1
1287.08 742759.22
1286.08 761024.12
1285.08 740063.87
1284.08 761586.78
1283.08 755445.73
1282.08 753673.76
1281.08 743362.65
1280.08 747996.97
1279.08 761842.22
1278.08 746807.31
1277.08 745172.15
1276.08 734205.62
1275.08 749166.01
1274.08 735970.22
1273.08 757172.53
1272.08 745440.3
1271.08 749727.37
1270.08 739537.57
1269.08 735950.12
1268.08 736374.14
1267.08 754790.76
1266.08 753567.27
1265.08 750655.72
1264.08 739266.93
1263.08 739206.66
1262.08 736812.07
1261.08 724115.1
1260.08 738344.01
1259.08 746169.09
1258.08 742521.09
1257.08 741875.88
1256.08 755226.7
1255.08 753317.72
1254.08 756935.25
1253.08 740918.79
1252.08 747540.53
1251.08 748769.28
1250.08 741459.56
1249.08 744811.37
1248.08 749554.08
1247.08 744764.36
1246.08 745464.66
1245.08 738254.85
1244.08 742134.11
1243.08 738827.29
1242.08 746884.54
1241.08 738445.05
1240.08 752980.75
1239.08 755294.65
1238.08 744168.65
1237.08 745586.94
1236.08 750365.62
1235.08 731115.27
1234.08 747163.93
1233.08 739279.12
1232.08 753552.55
1231.08 742587.99
1230.08 754071.51
1229.08 754280.28
1228.08 747493.22
1227.08 753436.21
1226.08 750914.34
1225.08 747717.6
1224.08 760782.01
1223.08 754357.28
1222.08 750736.54
1221.08 751642.34
1220.08 754366.1
1219.08 751487.35
1218.08 750240.9
1217.08 737081.1
1216.08 743935.62
1215.08 730016.47
1214.08 719362.6
1213.08 741605.95
1212.08 750407.5
1211.08 743940.81
1210.08 764117.48
1209.08 762874.05
1208.08 753241.72
1207.08 769143.79
1206.08 762752.48
1205.08 744839.83
1204.08 756821.86
1203.08 736754.12
1202.08 741591.6
1201.08 739175.48
1200.08 731341.15
1199.08 724951.33
1198.08 712759.94
1197.08 723951.01
1196.08 731568.47
1195.08 731124.53
1194.08 732789.43
1193.08 727179.48
1192.08 713838.82
1191.08 715071.22
1190.08 728557.62
1189.08 721624.96
1188.08 727086.97
1187.08 722613.25
1186.08 722740.11
1185.08 722390.48
1184.08 730501.54
1183.08 733510.27
1182.08 728812.66
1181.08 733362.19
1180.08 728209.38
1179.08 733615.64
1178.08 727850.09
1177.08 733840.05
1176.08 735736.14
1175.08 725727.6
1174.08 746798.14
1173.08 736236.96
1172.08 748136.54
1171.08 741228.43
1170.08 742527.21
1169.08 742936.11
1168.08 735551.77
1167.08 746726.64
1166.08 742123.34
1165.08 741099.66
1164.08 757915.55
1163.08 748563.33
1162.08 752323.41
1161.08 744481.9
1160.08 749994.75
1159.08 755851.2
1158.08 739857.88
1157.08 742972.33
1156.08 761169.86
1155.08 750249.09
1154.08 772445.28
1153.08 754294.46
1152.08 768196.19
1151.08 746071.13
1150.08 759891.93
1149.08 750462.15
1148.08 754870.08
1147.08 758849.01
1146.08 750338.63
1145.08 755254.84
1144.08 758881.1
1143.08 758918.83
1142.08 766311.63
1141.08 755731.65
1140.08 759770.36
1139.08 749552.64
1138.08 769953.75
1137.08 760462.74
1136.08 771905
1135.08 777520.95
1134.08 772310.33
1133.08 777366.69
1132.08 798041.86
1131.08 807575.27
1130.08 823422.85
1129.08 839629.19
1128.08 840389.28
1127.08 845983.59
1126.08 855768.6
1125.08 835708.68
1124.08 822574.32
1123.08 807716.04
1122.08 789752.72
1121.08 780495.38
1120.08 761724.19
1119.08 754236.97
1118.08 741798.88
1117.08 753377.14
1116.08 744515.95
1115.08 747935.41
1114.08 738649.9
1113.08 736354.41
1112.08 750497.97
1111.08 741585.77
1110.08 741130.56
1109.08 741217.44
1108.08 738336.09
1107.08 736620.49
1106.08 752325.79
1105.08 734684.27
1104.08 737689.59
1103.08 745762.08
1102.08 752711.13
1101.08 741601.01
1100.08 750808.21
1099.08 751297.46
1098.08 747797.26
1097.08 742218.72
1096.08 741754.54
1095.08 756119.37
1094.08 765949.27
1093.08 769795.98
1092.08 761717.13
1091.08 765574.65
1090.08 760595.21
1089.08 763723.57
1088.08 770238.54
1087.08 766321.78
1086.08 778987.28
1085.08 768313.04
1084.08 759443
1083.08 766142.64
1082.08 772061.78
1081.08 778003.09
1080.08 771893.57
1079.08 778386.09
1078.08 774674.01
1077.08 774685
1076.08 789447.95
1075.08 782543.55
1074.08 777993.17
1073.08 795755.66
1072.08 799167.71
1071.08 788111.08
1070.08 791786.02
1069.08 788680.06
1068.08 790363.25
1067.08 784770.36
1066.08 784164.08
1065.08 781065.02
1064.08 797556.83
1063.08 791060.19
1062.08 802464.28
1061.08 791394.03
1060.08 803080.78
1059.08 794356.19
1058.08 790625.35
1057.08 786641.82
1056.08 789266.22
1055.08 793711.86
1054.08 799488.01
1053.08 805111.19
1052.08 794304.74
1051.08 807586.07
1050.08 795209.64
1049.08 812183.09
1048.08 812366.89
1047.08 803447.4
1046.08 809518.98
1045.08 809313.71
1044.08 806762.99
1043.08 813394.96
1042.08 809606.5
1041.08 814056.94
1040.08 823711.32
1039.08 829444.75
1038.08 821471.56
1037.08 824300.63
1036.08 820076.79
1035.08 829501.59
1034.08 840953.29
1033.08 836513
1032.08 833006.83
1031.08 834074.78
1030.08 823475.99
1029.08 834034.82
1028.08 824983.08
1027.08 830769.38
1026.08 832548.41
1025.08 840776.14
1024.08 830231.11
1023.08 829071.99
1022.08 846139.06
1021.08 831721.79
1020.08 838609.06
1019.08 834717.07
1018.08 836021.67
1017.08 828552.48
1016.08 838193.53
1015.08 840712.21
1014.08 838535.36
1013.08 825907.77
1012.08 834948.65
1011.08 844592.15
1010.08 852659.48
1009.08 843832.76
1008.08 856280.5
1007.08 848925.95
1006.08 852899.2
1005.08 835535.51
1004.08 843689.49
1003.08 837620.72
1002.08 856152.01
1001.08 861800.09
1000.08 857489.13
999.08 855983.24
998.08 851858.85
997.08 869343.2
996.08 865449.86
995.08 875568.21
994.08 886263.81
993.08 867224.65
992.08 880625.84
991.08 881582.73
990.08 873255.31
989.08 855982.79
988.08 866469.06
987.08 869738.54
986.08 860217.44
985.08 867164.56
984.08 861611.28
983.08 872002.22
982.08 875818.42
981.08 861344.6
980.08 879742.56
