Samples4Survey LaCo_0603_1
1350.08 853858.83
1349.08 848135.56
1348.08 838345.2
1347.08 828901.33
1346.08 828286.43
1345.08 810640.14
1344.08 811484.65
1343.08 821830.22
1342.08 814932.27
1341.08 799528.24
1340.08 805334.71
1339.08 795897.54
1338.08 800686.71
1337.08 800088.63
1336.08 784486.43
1335.08 774075.7
1334.08 790145.36
1333.08 784772.43
1332.08 773131.13
1331.08 751620.22
1330.08 778381.05
1329.08 766405.69
1328.08 760196.34
1327.08 748087.95
1326.08 748475.47
1325.08 757575.03
1324.08 758991.01
1323.08 758698.97
1322.08 742553.74
1321.08 741660.27
1320.08 740841.04
1319.08 730244.82
1318.08 735942.8
1317.08 735790.62
1316.08 726535.68
1315.08 733071.39
1314.08 732987.94
1313.08 725167.86
1312.08 715509.09
1311.08 727873.27
1310.08 717671.7
1309.08 717394.62
1308.08 715213.97
1307.08 707839.75
1306.08 710817.49
1305.08 704925.3
1304.08 703594.93
1303.08 706648.72
1302.08 709815.65
1301.08 713039.01
1300.08 702933.55
1299.08 694642.59
1298.08 692307.95
1297.08 694779.44
1296.08 708592.75
1295.08 689078.75
1294.08 687145.95
1293.08 685640.85
1292.08 697705.6
1291.08 682038.53
1290.08 693507.78
1289.08 680022.41
1288.08 686750.24
1287.08 691112.65
1286.08 689541.83
1285.08 678890.78
1284.08 684852.81
1283.08 668637.65
1282.08 682765.52
1281.08 679603.36
1280.08 687886.18
1279.08 675351.82
1278.08 680920.68
1277.08 681036.69
1276.08 682907.77
1275.08 680214.79
1274.08 680989.2
1273.08 689967.16
1272.08 676920.31
1271.08 666882.37
1270.08 678673.77
1269.08 676215.41
1268.08 675214.72
1267.08 684703.33
1266.08 681337.89
1265.08 683343.68
1264.08 672625.07
1263.08 692562.14
1262.08 674257.57
1261.08 674888.9
1260.08 678117.75
1259.08 687817.92
1258.08 676509.16
1257.08 672473.8
1256.08 677711.93
1255.08 687305.25
1254.08 689444.22
1253.08 680729.94
1252.08 674828.85
1251.08 685704.25
1250.08 678568.05
1249.08 687451.25
1248.08 686605.1
1247.08 678682.81
1246.08 673699.52
1245.08 677242.19
1244.08 680281.67
1243.08 687719.9
1242.08 683555.25
1241.08 676923.3
1240.08 676922.97
1239.08 681080.07
1238.08 683119.96
1237.08 682830.24
1236.08 694128.08
1235.08 685421.43
1234.08 698334.19
1233.08 682305.53
1232.08 693276.67
1231.08 701525.19
1230.08 701246.48
1229.08 704061.96
1228.08 699404.61
1227.08 704390.72
1226.08 686859.36
1225.08 694470.6
1224.08 702202.92
1223.08 703841.2
1222.08 696955.5
1221.08 694682.67
1220.08 695053.11
1219.08 693309.58
1218.08 683370.27
1217.08 685385.34
1216.08 699326.47
1215.08 694958.54
1214.08 675309.07
1213.08 694580.97
1212.08 688594.12
1211.08 688255.51
1210.08 696250.06
1209.08 696448.34
1208.08 701744.51
1207.08 698443.94
1206.08 696907.13
1205.08 692600.28
1204.08 677961.74
1203.08 682748.45
1202.08 694059.81
1201.08 679224.77
1200.08 681341.01
1199.08 689304.27
1198.08 690195.53
1197.08 684985.2
1196.08 671169.29
1195.08 687064.57
1194.08 688205.73
1193.08 690180.09
1192.08 682755.76
1191.08 684828.78
1190.08 687298.57
1189.08 684441.37
1188.08 691969.27
1187.08 692020.49
1186.08 699945.43
1185.08 694492.88
1184.08 692117.56
1183.08 699246.7
1182.08 692920.35
1181.08 689164.2
1180.08 708984.55
1179.08 696611.82
1178.08 707648.92
1177.08 696540.05
1176.08 692745.62
1175.08 702274.08
1174.08 693093.42
1173.08 700015.92
1172.08 710078.25
1171.08 702427.85
1170.08 697007.48
1169.08 703872.26
1168.08 715786.77
1167.08 704131.56
1166.08 714012.83
1165.08 707539.25
1164.08 730892.42
1163.08 714627.04
1162.08 712788.22
1161.08 713953.73
1160.08 717070.44
1159.08 724049.4
1158.08 729670.71
1157.08 722225.86
1156.08 724449.64
1155.08 722784.71
1154.08 736671.79
1153.08 737182.95
1152.08 737751.55
1151.08 738887.65
1150.08 734385.39
1149.08 735183.06
1148.08 728347.41
1147.08 726090.91
1146.08 729159.21
1145.08 734735.23
1144.08 728873.99
1143.08 725038.76
1142.08 737508.7
1141.08 739206.35
1140.08 736056.31
1139.08 743047.78
1138.08 747274.69
1137.08 728586.76
1136.08 743718.76
1135.08 740841.94
1134.08 736049.68
1133.08 743410.52
1132.08 748341.54
1131.08 761546.87
1130.08 764387.53
1129.08 774850.02
1128.08 785375.09
1127.08 795999.98
1126.08 786193.22
1125.08 792207.92
1124.08 774853.56
1123.08 773619.88
1122.08 766410.73
1121.08 753482.81
1120.08 752190.51
1119.08 744406.82
1118.08 731475.45
1117.08 736356.53
1116.08 726451.15
1115.08 740228.3
1114.08 743157.36
1113.08 742121.04
1112.08 741314.13
1111.08 755863.91
1110.08 738872.66
1109.08 740107.04
1108.08 742061.88
1107.08 744260.4
1106.08 750800.33
1105.08 736631.86
1104.08 759423.95
1103.08 740791.21
1102.08 754564.78
1101.08 743870.01
1100.08 746571.49
1099.08 761577.93
1098.08 759493.71
1097.08 763500.52
1096.08 762530.43
1095.08 761624.74
1094.08 763679.27
1093.08 752916.69
1092.08 766478.25
1091.08 776094.72
1090.08 776158.5
1089.08 762252.35
1088.08 765207.11
1087.08 764088.83
1086.08 765224.54
1085.08 771675.14
1084.08 763506.68
1083.08 774575.9
1082.08 773659.09
1081.08 766363.58
1080.08 767007.99
1079.08 784153.8
1078.08 779496.17
1077.08 781524.85
1076.08 775514.81
1075.08 789566.93
1074.08 793448.22
1073.08 786698.07
1072.08 784653.95
1071.08 803194.42
1070.08 798440.29
1069.08 796457.46
1068.08 800879.54
1067.08 792497.49
1066.08 787363.22
1065.08 779975.5
1064.08 798818.43
1063.08 790591.2
1062.08 803528.35
1061.08 801473.24
1060.08 788986.65
1059.08 801589.81
1058.08 804181.55
1057.08 795619.53
1056.08 798750.8
1055.08 805607.81
1054.08 811106.72
1053.08 792403.47
1052.08 812070.28
1051.08 818779.73
1050.08 812320.86
1049.08 814746.96
1048.08 806533.75
1047.08 816165.45
1046.08 822294.41
1045.08 816246.99
1044.08 813063.8
1043.08 823182.42
1042.08 831977.46
1041.08 829598.24
1040.08 819585.29
1039.08 829343
1038.08 823829.46
1037.08 831592.53
1036.08 832220.2
1035.08 838440.21
1034.08 835077.09
1033.08 830495.97
1032.08 833203.58
1031.08 841288.49
1030.08 838635.37
1029.08 846692.27
1028.08 837638.14
1027.08 839262.1
1026.08 825750.5
1025.08 836576.29
1024.08 847182.42
1023.08 829196.02
1022.08 846661.81
1021.08 852175.84
1020.08 835196.09
1019.08 842349.34
1018.08 852312.06
1017.08 848499.81
1016.08 847004.09
1015.08 845559.8
1014.08 852431.24
1013.08 867969.65
1012.08 851171.18
1011.08 857376.08
1010.08 854323.08
1009.08 847634.96
1008.08 861609.11
1007.08 865806.31
1006.08 865228.38
1005.08 852813.36
1004.08 860426.55
1003.08 862148.72
1002.08 860458.15
1001.08 859033.48
1000.08 879304.08
999.08 865132.38
998.08 874932.99
997.08 869520.36
996.08 874016.99
995.08 874570.26
994.08 883351.98
993.08 878442.71
992.08 886958.79
991.08 878505.17
990.08 877750.59
989.08 862377.53
988.08 870251.9
987.08 865939.33
986.08 872375.73
985.08 871911.68
984.08 871076.26
983.08 869057.96
982.08 866358.42
981.08 861112.69
980.08 877555.12
979.08 882313.31
978.08 887620.44
977.08 889839.26
976.08 900179.41
975.08 908003.68
974.08 918064.51
973.08 915550.15
972.08 940040.54
971.08 930238.7
970.08 918142.74
969.08 882378.44
968.08 872234.29
967.08 859741.56
966.08 858254.87
965.08 838686.76
964.08 834255.58
963.08 828477.9
962.08 832705.71
961.08 828350.7
960.08 830443.06
959.08 837906.77
958.08 837361.57
957.08 837082.25
956.08 824227.14
955.08 837806.27
954.08 824658.87
953.08 833130.67
952.08 818735.56
951.08 817693.51
950.08 822626.79
949.08 817780.96
948.08 822815.44
947.08 805776.78
946.08 816820.19
945.08 809071.52
944.08 808532.64
943.08 815525.42
942.08 811109.15
941.08 830523.02
940.08 818121.63
939.08 818999.63
938.08 813044.12
937.08 826621.73
936.08 816387.33
935.08 815590.35
934.08 822691.4
933.08 801493.97
932.08 812074.1
931.08 828373.31
930.08 823416.7
929.08 818198.87
928.08 837659.52
927.08 831212.14
926.08 823093.71
925.08 826282.52
924.08 828696.05
923.08 831136.23
922.08 821848.87
921.08 811518.27
920.08 827746.94
919.08 813374.69
918.08 818822.8
917.08 814531.31
916.08 810007.68
915.08 818585.29
914.08 820396.97
913.08 824132.5
912.08 825597.23
911.08 834917.45
910.08 821303.14
909.08 828510.95
908.08 828991.17
907.08 829555.6
906.08 833110.92
905.08 826499.89
904.08 831560.97
903.08 834226.49
902.08 840897.4
901.08 835109.11
900.08 839362.68
899.08 842391.15
898.08 851322.6
897.08 842822.73
896.08 852375.7
895.08 854363.27
894.08 857231.76
893.08 845665.83
892.08 857080.06
891.08 867707.44
890.08 860781.64
889.08 861172.09
888.08 873907.76
887.08 869241.35
886.08 860954.38
885.08 871758.06
884.08 867675.22
883.08 876754.35
882.08 869771.59
881.08 883452.94
880.08 879406.28
879.08 874256.84
878.08 869593.41
877.08 875835.02
876.08 862190.8
875.08 869769.08
874.08 876031.22
873.08 877357.31
872.08 876834.26
871.08 867209.81
870.08 878452.84
869.08 879470.82
868.08 879169.73
867.08 899007.62
866.08 898786.24
865.08 905986.3
864.08 907972.49
863.08 907659
862.08 894216.67
861.08 897017.54
860.08 873089.65
859.08 847941.11
858.08 839247.41
857.08 845120.52
856.08 858211.95
855.08 933144.94
854.08 987449.3
853.08 980499.94
852.08 944547.85
851.08 961547.8
850.08 993337.1
849.08 953367.04
848.08 808447.83
847.08 716452.5
846.08 688045.36
845.08 661422.87
844.08 643183.65
843.08 614363.51
842.08 604375.31
841.08 600425.07
840.08 614009.13
839.08 677061.68
838.08 805625.35
837.08 911688.69
836.08 906260.21
835.08 855810.02
834.08 894518.36
833.08 927872.49
832.08 822529.34
831.08 616622.94
830.08 507375.25
829.08 460708.01
828.08 451650.18
827.08 440578.91
826.08 415206.36
825.08 424436.35
824.08 425364.6
823.08 415809.17
822.08 415233.97
821.08 411774.75
820.08 413909.18
819.08 408156.85
818.08 405846.02
817.08 412258.06
816.08 409938.54
815.08 399415.34
814.08 399991.45
813.08 408669.55
812.08 400737.56
811.08 395202.24
810.08 395533.04
809.08 399264.96
808.08 397139.44
807.08 395180.03
806.08 402324.3
805.08 400430.53
804.08 409667.04
803.08 407470.36
802.08 398213.29
801.08 401658.9
800.08 395307.43
799.08 403271.9
798.08 415019.2
797.08 433387.08
796.08 465271.21
795.08 469170.49
794.08 454910.93
793.08 422851.46
792.08 387936.52
791.08 380152.97
790.08 384499.97
789.08 387893.88
788.08 386539.28
787.08 368594.8
786.08 378555.87
785.08 378366.54
784.08 382449.31
783.08 408012.65
782.08 441305.8
781.08 497090.39
780.08 545792.41
779.08 537451.12
778.08 426100.56
777.08 331427.42
776.08 308808.17
775.08 300468.26
774.08 296225.03
773.08 293514.47
772.08 291469.59
771.08 287536.47
770.08 278992.71
769.08 267482.37
768.08 259469.05
767.08 239666.03
766.08 229421.68
765.08 231978.61
764.08 228668.52
763.08 224424.74
762.08 225633.99
761.08 233668.17
760.08 226547.67
759.08 231663.6
758.08 228034.25
757.08 229698.28
756.08 220621.41
755.08 213909.8
754.08 208902.71
753.08 201511.3
752.08 202318.37
751.08 200292.02
750.08 194158.74
749.08 197937.18
748.08 196430.33
747.08 196969.32
746.08 200865.71
745.08 199254.14
744.08 199316.59
743.08 198248.61
742.08 198757.62
741.08 197283.96
740.08 192246.6
739.08 187663.63
738.08 191921.78
737.08 195181.25
736.08 188446.84
735.08 189091.74
734.08 186136.07
733.08 184874.48
732.08 182449.67
731.08 181981.71
730.08 184406.11
729.08 179780.52
728.08 180315.14
727.08 181080.11
726.08 188933.57
725.08 190419.31
724.08 180458.12
723.08 187338.52
722.08 195692.39
721.08 197742.3
720.08 201206.65
719.08 204906.99
718.08 205473.22
717.08 213701.21
716.08 223381.79
715.08 216465.29
714.08 220003.84
713.08 220563.77
712.08 216395.23
711.08 215285.42
710.08 204356.85
709.08 197031.83
708.08 184855.02
707.08 178941.09
706.08 170596.14
705.08 165954.04
704.08 162810.7
703.08 166746.49
702.08 169261.49
701.08 166461.16
700.08 164813.79
699.08 168968.09
698.08 161844.11
697.08 162831.78
696.08 159380.41
695.08 156901.23
694.08 156609.52
693.08 153310.04
692.08 154670.18
691.08 146970.75
690.08 151762.69
689.08 145750.42
688.08 145719.04
687.08 151206.79
686.08 146702.73
685.08 150361.2
684.08 152631.49
683.08 149846.19
682.08 149007.51
681.08 149794.98
680.08 148980.08
679.08 152538.72
678.08 152289.83
677.08 145885.12
676.08 145414.61
675.08 152188.14
674.08 145285.2
673.08 147346.28
672.08 149725.35
671.08 148775.41
670.08 150688.92
669.08 145802.15
668.08 149704.95
667.08 152942.28
666.08 148819.86
665.08 147025.73
664.08 148422.32
663.08 147021.22
662.08 148662.16
661.08 147624.37
660.08 150810.87
659.08 149253.02
658.08 145484.4
657.08 155004.28
656.08 145017.52
655.08 145207.65
654.08 145267.51
653.08 146137.67
652.08 151070.26
651.08 149927.3
650.08 150628.08
649.08 147043.29
648.08 150035.11
647.08 153582.11
646.08 151099.36
645.08 156005.02
644.08 148117.99
643.08 151965.08
642.08 152791.37
641.08 147720.64
640.08 153576.9
639.08 151972.19
638.08 151366.19
637.08 152801.29
636.08 149835.6
635.08 147094.34
634.08 153168.24
633.08 153253.87
632.08 153017.16
631.08 153103.88
630.08 152806.28
629.08 155852.68
628.08 150752.59
627.08 154459.24
626.08 152232.48
