Samples4Survey SrIr_0224
1350.08 191916.0
1349.08 185720.5
1348.08 191829.0
1347.08 190253.0
1346.08 191049.5
1345.08 188277.5
1344.08 192697.5
1343.08 187982.5
1342.08 189315.5
1341.08 193116.0
1340.08 188177.0
1339.08 189160.5
1338.08 191225.0
1337.08 192888.5
1336.08 193426.0
1335.08 193130.5
1334.08 197022.0
1333.08 191384.5
1332.08 200887.0
1331.08 194270.5
1330.08 195229.0
1329.08 186740.5
1328.08 195974.5
1327.08 189572.0
1326.08 185994.5
1325.08 188601.0
1324.08 184599.5
1323.08 183230.0
1322.08 183133.0
1321.08 184284.5
1320.08 183208.0
1319.08 187720.0
1318.08 180402.0
1317.08 187029.0
1316.08 183834.5
1315.08 179821.0
1314.08 180688.5
1313.08 175074.0
1312.08 178338.0
1311.08 175015.5
1310.08 174306.0
1309.08 178668.0
1308.08 176000.0
1307.08 172708.0
1306.08 173226.5
1305.08 171720.5
1304.08 170663.5
1303.08 168048.5
1302.08 169549.5
1301.08 169358.5
1300.08 168772.5
1299.08 171488.5
1298.08 171512.5
1297.08 161748.0
1296.08 163320.0
1295.08 163976.0
1294.08 167479.5
1293.08 167897.0
1292.08 169158.0
1291.08 162505.0
1290.08 162818.0
1289.08 166317.5
1288.08 168519.0
1287.08 166867.5
1286.08 156290.5
1285.08 163092.5
1284.08 163812.0
1283.08 161615.5
1282.08 160704.5
1281.08 159293.5
1280.08 160015.5
1279.08 164115.5
1278.08 159902.0
1277.08 164599.5
1276.08 161232.5
1275.08 164760.0
1274.08 161874.0
1273.08 164256.0
1272.08 164118.0
1271.08 161197.0
1270.08 162336.5
1269.08 162142.5
1268.08 167498.5
1267.08 163296.0
1266.08 167051.5
1265.08 166410.5
1264.08 167101.0
1263.08 171808.5
1262.08 167477.5
1261.08 165489.5
1260.08 164303.5
1259.08 172160.5
1258.08 167535.5
1257.08 169503.0
1256.08 172054.0
1255.08 166842.5
1254.08 169542.5
1253.08 163272.0
1252.08 164422.0
1251.08 167907.5
1250.08 167873.5
1249.08 168603.5
1248.08 165616.5
1247.08 166519.5
1246.08 171112.0
1245.08 163278.0
1244.08 167473.5
1243.08 169083.0
1242.08 167312.0
1241.08 163867.5
1240.08 168407.0
1239.08 166091.5
1238.08 168564.0
1237.08 165170.5
1236.08 165920.0
1235.08 169610.0
1234.08 164622.5
1233.08 166911.0
1232.08 168447.0
1231.08 168113.5
1230.08 171110.5
1229.08 173054.0
1228.08 169258.0
1227.08 172758.5
1226.08 169597.5
1225.08 170772.5
1224.08 172984.5
1223.08 175057.5
1222.08 175176.0
1221.08 173598.0
1220.08 164827.5
1219.08 165771.0
1218.08 170365.5
1217.08 167248.5
1216.08 165440.5
1215.08 159378.5
1214.08 164982.5
1213.08 161145.5
1212.08 160557.5
1211.08 158661.0
1210.08 160411.0
1209.08 157374.5
1208.08 161564.5
1207.08 160475.0
1206.08 159401.0
1205.08 161857.0
1204.08 164030.5
1203.08 161593.0
1202.08 163615.5
1201.08 164568.0
1200.08 165035.0
1199.08 162263.0
1198.08 168123.5
1197.08 163912.5
1196.08 165108.0
1195.08 163666.0
1194.08 168035.0
1193.08 167264.0
1192.08 160864.0
1191.08 168163.5
1190.08 164584.5
1189.08 170848.5
1188.08 166992.0
1187.08 167323.5
1186.08 170294.5
1185.08 165407.0
1184.08 163573.5
1183.08 165679.0
1182.08 166914.5
1181.08 168688.0
1180.08 171981.5
1179.08 170757.0
1178.08 172024.0
1177.08 172476.5
1176.08 168046.0
1175.08 165772.0
1174.08 172233.0
1173.08 167028.0
1172.08 167310.0
1171.08 172640.5
1170.08 169287.0
1169.08 172477.0
1168.08 163746.5
1167.08 174074.0
1166.08 169335.0
1165.08 172508.0
1164.08 173039.0
1163.08 175320.5
1162.08 172977.0
1161.08 174644.0
1160.08 174838.5
1159.08 173217.5
1158.08 174664.5
1157.08 171923.0
1156.08 177157.0
1155.08 173634.0
1154.08 173483.5
1153.08 175695.5
1152.08 171998.0
1151.08 174906.5
1150.08 178684.0
1149.08 177094.5
1148.08 177625.5
1147.08 173006.0
1146.08 174504.0
1145.08 184433.0
1144.08 171869.0
1143.08 183462.5
1142.08 177032.0
1141.08 184648.0
1140.08 178284.0
1139.08 173142.5
1138.08 178276.5
1137.08 180329.5
1136.08 180959.0
1135.08 177990.0
1134.08 180310.5
1133.08 179390.5
1132.08 187957.0
1131.08 186701.0
1130.08 179061.5
